code,redeem_url
DEMO-CODE-0001,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0001
DEMO-CODE-0002,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0002
DEMO-CODE-0003,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0003
DEMO-CODE-0004,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0004
DEMO-CODE-0005,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0005
DEMO-CODE-0006,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0006
DEMO-CODE-0007,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0007
DEMO-CODE-0008,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0008
DEMO-CODE-0009,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0009
DEMO-CODE-0010,https://apps.apple.com/redeem?ctx=offercodes&id=0000000000&code=DEMO-CODE-0010
